研经铸史,12.897792430061635
孤行己意,12.643564507606182
身不由己,12.638071416278837
独具只眼,12.629343818085072
芝兰玉树,12.56995289231352
不食烟火,12.567203340367378
鹰瞵虎视,12.553503683113039
目知眼见,12.552878813818639
坚定不移,12.536338465955108
不值一哂,12.51895042992379
行不胜衣,12.512397728334605
衣食住行,12.50742612069132
鹰视狼步,12.50074901613311
瞻情顾意,12.49433342694251
玉树芝兰,12.49143837237531
衣衫不整,12.488856269567366
鹰视狼顾,12.48450387053809
逐机应变,12.478116834428098
终始不渝,12.471330823796759
劚山觅玉,12.464940365569289
始终不渝,12.460294253981797
游荡不羁,12.460072393212219
一瞑不视,12.455812009055366
一暝不视,12.455677600453212
不知凡几,12.453357833981105
始终不易,12.448688130716278
布衣黔首,12.436618093311829
言出必行,12.43267209267859
故技重演,12.432475627024694
息黥补劓,12.43062806895762
目使颐令,12.429883436973538
百无一是,12.429409790776202
深信不疑,12.428878007026485
朝齑暮盐,12.42472786719459
有声无气,12.418160646869605
一丁不识,12.417282580336833
烟霞痼疾,12.413434831078439
覆海移山,12.40413289534877
儋石之储,12.398661371316559
政由己出,12.39610145940385
精义入神,12.393701663326379
不识一丁,12.391020399051616
饥附饱飏,12.387641733886694
有心无力,12.386377040215548
趋炎附势,12.381466550408675
甄奇录异,12.376528527784197
必由之路,12.376497313931734
投鼠之忌,12.365303951509333
诛锄异己,12.365113395017081
寄雁传书,12.364465072346848
计然之术,12.36179663164815
独竖一帜,12.361506602143384
独树一帜,12.361410490989991
气涌如山,12.359709481830548
付之一炬,12.358497288651039
中立不倚,12.356800527810677
十不当一,12.356223664957449
露红烟紫,12.353674296960866
主一无适,12.352998886207923
低回不已,12.348716085798968
守正不移,12.348180945319104
研精毕智,12.347535264698768
不经之语,12.346816678675246
虎狼之势,12.345385493508916
鹯视狼顾,12.344474716003294
不易之典,12.343246705777352
季路一言,12.342977552522429
万不得已,12.342027527753578
都头异姓,12.341315843427603
昌言无忌,12.338929165813374
不知疼痒,12.335314483263476
来之不易,12.329673230135151
以疏间亲,12.329284303263675
使心用腹,12.329258255299765
老于世故,12.327915627908922
金石不渝,12.323277935599902
五石六鹢,12.320347775611141
一毫不染,12.320323580568708
饱经世故,12.320073915788152
竹柏异心,12.317075669540435
守节不移,12.31336802747268
依经傍注,12.312894946288836
道不举遗,12.309195445698323
枝附叶连,12.306907120925578
一线之路,12.305690641027855
万不失一,12.305191094584467
一路神祇,12.304962186358864
木鸡养到,12.301904122741075
目治手营,12.30174507105657
狼贪虎视,12.301358747182533
厉精图治,12.300775033202616
壁间蛇影,12.300749058633038
历精图治,12.29895847522367
励精图治,12.298000696545435
时绌举盈,12.297482911002573
一目十行,12.296410645178348
市井之徒,12.296293467843693
时绌举赢,12.295785973004037
移东补西,12.29457952696097
悔之不及,12.291208494583216
言行不一,12.289944426928344
积重不反,12.287094226152277
用之不竭,12.286800181035703
居之不疑,12.286539102513403
不腆之仪,12.285931257984808
积重不返,12.285576310719334
盖不由己,12.28451811384052
心满意足,12.283750283401842
道不拾遗,12.28372917087383
千里无烟,12.280777191399846
视险如夷,12.280292672611015
引绳棋布,12.27951314684218
逐宕失返,12.278275340360963
遗恨千古,12.27823802847497
无济于事,12.27774067246838
几不欲生,12.277101375840925
褐衣不完,12.275707601614469
极重不反,12.275226650491751
一齐众楚,12.274499724905759
鼠肝虫臂,12.274022150908882
离山调虎,12.273957966988709
肤受之言,12.271904129405199
一般见识,12.271874170531389
反经合义,12.271284640597313
易如翻掌,12.270583344009586
引狼入室,12.270036461051237
一毫不苟,12.269558814469047
名胜古迹,12.269549759445669
扶摇万里,12.267588195383855
别树一帜,12.266360825051994
不值一笑,12.2663023510717
言不及义,12.263635474233087
鹰扬虎视,12.263261818507143
矢志不渝,12.261741941441002
不分玉石,12.261551306750924
有闻必录,12.260919963903133
市井无赖,12.260909417643946
范张鸡黍,12.260006937809745
行古志今,12.2590632468654
一目数行,12.258083472643
附势趋炎,12.258074106786884
一蹶不振,12.257866206497892
千古一时,12.257286083078764
鹰扬虎噬,12.25631134299152
梧鼠之技,12.255879152195211
衣食不周,12.255423001174744
出震继离,12.255192358495076
无稽之言,12.254096519323893
骥伏盐车,12.252649603548738
闳侈不经,12.252601181860424
骥服盐车,12.25193325143541
一钱不值,12.251441419785035
不知所言,12.25123038445774
漫无止境,12.250047507656905
稂莠不齐,12.249213923480312
知情不举,12.24898416652566
布衣粝食,12.24839657582346
警世通言,12.244058464332252
有志无时,12.241459946058589
一尘不到,12.241258605708044
鹰视虎步,12.23643142463961
击其不意,12.23620791633341
百无一失,12.234557990143305
生死不渝,12.232678867106845
直言不讳,12.232399509812632
瑚琏之器,12.231463877672487
阳煦山立,12.230429241973543
巨细无遗,12.227694137148637
不安于室,12.22755701790463
适心娱目,12.226669017679601
直言贾祸,12.225626351878796
衣食父母,12.224495081503012
寿不压职,12.224308421043375
调虎离山,12.22372585037314
只骑不反,12.22310739260048
无庸置辩,12.223019963859526
有气无力,12.222354665954251
立竿见影,12.221871425773147
漫无边际,12.221821635049466
草衣木食,12.221064218827665
减师半德,12.220861747617304
不知寝食,12.220649688409596
玉石不分,12.218623989475745
持之有故,12.218486488388393
用武之地,12.215989432079038
如蚁慕膻,12.215612169417893
实蕃有徒,12.214092087950059
一尘不染,12.213920743482497
殊勋异绩,12.213612260715426
投鼠忌器,12.213489264361092
虱多不痒,12.213227557556058
一廉如水,12.212906601525482
群蚁附膻,12.210863015012055
奴颜婢膝,12.21078441245057
语不投机,12.208925422231554
